snr,num_valid_runs,num_samples_mean,acc_kmeans_before_mean,acc_kmeans_before_std,acc_kmeans_after_mean,acc_kmeans_after_std,ari_kmeans_before_mean,ari_kmeans_before_std,ari_kmeans_after_mean,ari_kmeans_after_std,acc_gmm_before_mean,acc_gmm_before_std,acc_gmm_after_mean,acc_gmm_after_std,ari_gmm_before_mean,ari_gmm_before_std,ari_gmm_after_mean,ari_gmm_after_std
0,5,150.0,0.8213333333333332,0.041739935579996064,0.9333333333333333,0.024944382578492942,0.6386225739724516,0.06982126718548841,0.8462045977011494,0.053348537490189515,0.712,0.05585696017507575,0.8160000000000001,0.08387821860027524,0.5624348801324499,0.05581888462705992,0.6595264367816093,0.13233342056880126
1,5,150.0,0.844,0.03112698007981001,0.9279999999999999,0.015202339001321851,0.6729157419354714,0.05464092116047911,0.8345586206896553,0.03244092530372753,0.748,0.09072547112642133,0.8640000000000001,0.10599790354320952,0.5802864385776552,0.08460532292509229,0.7339693486590039,0.15447427826435356
2,5,150.0,0.876,0.02772884579078058,0.968,0.01788854381999834,0.7409298089129791,0.04514244641127049,0.9225885057471264,0.04242534856622783,0.788,0.10081886948604632,0.944,0.023380903889000253,0.6541535131938516,0.08350186120020853,0.8684689655172415,0.0523308482525956
3,5,150.0,0.8733333333333334,0.028674417556808773,0.968,0.011925695879998914,0.7328589004018324,0.04657729479880953,0.9217892720306514,0.0287375054306411,0.8493333333333333,0.025210227201585358,0.9413333333333334,0.017888543819998284,0.6908953360178329,0.03706558269772154,0.8625318007662834,0.03986043001015949
4,5,150.0,0.9026666666666667,0.023851391759997745,0.9813333333333333,0.015202339001321851,0.7853335564655495,0.047539979168905684,0.9542153256704982,0.03687910394605526,0.836,0.08545304103554316,0.9546666666666667,0.015202339001321846,0.7025972342249063,0.08031655176956716,0.8964421455938698,0.029941618251453993
5,5,150.0,0.9386666666666666,0.017888543819998336,0.9840000000000002,0.01115546702045432,0.8542681467154033,0.03580995071382665,0.9604950191570882,0.027430234004747964,0.8906666666666666,0.04412104562073146,0.9573333333333334,0.031832897030168894,0.767831141550967,0.06490218772924616,0.900552490421456,0.06941009563515096
6,5,150.0,0.9666666666666666,0.004714045207910347,1.0,0.0,0.918722566552346,0.011151760674458337,1.0,0.0,0.9640000000000001,0.015347819244295107,0.9973333333333333,0.005962847939999428,0.9121848063305693,0.03659695345938081,0.9933777777777777,0.0148077390509986
7,5,150.0,0.9693333333333335,0.0173845397472071,1.0,0.0,0.9256370843452173,0.03921747867025297,1.0,0.0,0.9626666666666667,0.01977652929892178,0.9973333333333333,0.005962847939999428,0.9100905039116116,0.04518504274182895,0.9933777777777777,0.0148077390509986
8,5,150.0,0.9786666666666667,0.010954451150103298,1.0,0.0,0.9474266290533393,0.02676162144566849,1.0,0.0,0.9706666666666667,0.01920648038785061,1.0,0.0,0.9277777643639998,0.04618182793270437,1.0,0.0
9,5,150.0,0.9906666666666666,0.00365148371670107,1.0,0.0,0.976543198406125,0.009063085024375098,1.0,0.0,0.9813333333333334,0.008692269873603541,1.0,0.0,0.9533426143717131,0.02180824664446935,1.0,0.0
10,5,150.0,0.992,0.005577733510227154,1.0,0.0,0.9800295603903807,0.013807469347919198,1.0,0.0,0.9893333333333334,0.005962847939999422,1.0,0.0,0.9731872738523976,0.014975994472404571,1.0,0.0
15,5,150.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20,5,150.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9986666666666666,0.002981423969999739,1.0,0.0,0.9966323878404338,0.00753020971064455,1.0,0.0
